artist_names,title,count,document_ids
['Bruce Dickinson'],Tattooed Millionaire,2,"66f88814fb9f17a601aa8baf, 66f88814fb9f17a601aa8bb1"
['Dyewitness'],What Would You Like To Hear Again?,2,"66f8880afb9f17a601a9dc53, 66f8880afb9f17a601a9dc4c"
['Arpeggiators'],Freedom Of Expression,2,"66f88805fb9f17a601a98966, 66f8880cfb9f17a601aa0152"
['Billy Joel'],An Innocent Man,2,"66f88809fb9f17a601a9cd9a, 66f8880ffb9f17a601aa385d"
['Heavy D. & The Boyz'],Peaceful Journey,2,"66f88810fb9f17a601aa505a, 66f88810fb9f17a601aa5056"
"[""Cut 'N' Move""]",Get Serious,2,"66f88815fb9f17a601aa9f76, 66f88815fb9f17a601aa9f78"
['Bob Seger And The Silver Bullet Band'],Like A Rock,2,"66f88807fb9f17a601a9b804, 66f88807fb9f17a601a9b844"
['Patrick Wolf'],The Magic Position,2,"66f88810fb9f17a601aa4d84, 66f88810fb9f17a601aa4d86"
['Oberkampf'],Couleurs Sur Paris,2,"66f8880bfb9f17a601a9fa13, 66f8880bfb9f17a601a9fa15"
['Diana Ross'],Diana Ross,2,"66f88815fb9f17a601aa9ed8, 66f88815fb9f17a601aa9ede"
['Ultravox'],Dancing With Tears In My Eyes,2,"66f88803fb9f17a601a97122, 66f88804fb9f17a601a975b6"
['Ankie Bagger'],Where Were You Last Night,2,"66f88804fb9f17a601a97d63, 66f88804fb9f17a601a97d66"
['Kim Carnes'],Voyeur,2,"66f88814fb9f17a601aa8b76, 66f88814fb9f17a601aa8b75"
['Lulu Rouge'],Bless You,2,"66f8880cfb9f17a601aa0bc4, 66f88814fb9f17a601aa8941"
['Red Hot Chili Peppers'],Californication,2,"66f88808fb9f17a601a9c9c8, 66f88808fb9f17a601a9c9d0"
['Me & My'],Let The Love Go On,2,"66f88810fb9f17a601aa5235, 66f88810fb9f17a601aa5236"
['After The Fire'],Der Kommissar,2,"66f88815fb9f17a601aaa77b, 66f88815fb9f17a601aaa78b"
